
Date	Fatalities	Injuries	Survivors	Flight(s) or incident	Location	State or territory	Aircraft	Summary
January 10, 1938	10	0	0	Northwest Airlines Flight 2	Bridger Mountains, near Bozeman	Montana	Lockheed Model 14H Super Electra	The aircraft is believed to have crashed due to failure of the empennage due to aeroelastic flutter, likely caused by weather-induced turbulence.
May 6, 1937	36		62	Hindenburg disaster	NAS Lakehurst, Manchester Township	New Jersey	Hindenburg-class airship	The hydrogen-filled airship caught fire and was destroyed while trying to dock. One person on the ground was also killed.
March 25, 1937	13	0	0	TWA Flight 15A	Upper St. Clair Township	Pennsylvania	Douglas DC-2	The aircraft is believed to have crashed due to ice accumulation on the control surfaces.
January 12, 1937	5		8	Western Air Express Flight 7	near Newhall	California	Boeing 247D	The aircraft went off-course in poor visibility and struck a ridge.
December 27, 1936	12	0	0	United Airlines Trip 34	near Newhall	California	Boeing 247D	The pilot flew too low during approach and struck terrain.
August 5, 1936	8	0	0	Chicago and Southern Flight 4	St. Louis	Missouri	Lockheed Model 10B Electra	The aircraft crashed shortly after takeoff presumably due to a lack of altitude awareness due to fog.
April 7, 1936	12	2	2	TWA Flight 1	Cheat Mountain, Wharton Township	Pennsylvania	Douglas DC-2	The aircraft went off-course and crashed into terrain in poor visibility.
January 14, 1936	17	0	0	American Airlines Flight 1	near Goodwin	Arkansas	Douglas DC-2	The aircraft crashed for undetermined reasons.
October 7, 1935	12	0	0	United Airlines Trip 4	near Hecla	Wyoming	Boeing 247D	The pilot is believed to lost spatial awareness and crashed into terrain.
May 6, 1935	5	8	8	TWA Flight 6	near Atlanta	Missouri	Douglas DC-2	The aircraft crashed into terrain due to low visibility.
February 23, 1934	8	0	0	1934 United Airlines Boeing 247 crash	Wasatch Mountains, 35 miles east of Salt Lake City	Utah	Boeing 247	The aircraft crashed into terrain in poor weather.
October 10, 1933	7	0	0	1933 United Airlines Boeing 247 mid-air explosion	near Chesterton	Indiana	Boeing 247D	The aircraft suffered a mid-air explosion due to a bomb in the baggage compartment and crashed. It was the first confirmed act of air sabotage in commercial aviation.
March 31, 1931	8	0	0	1931 Transcontinental & Western Air Fokker F-10 crash	Bazaar Township	Kansas	Fokker F-10	The wooden wing separated from the body of the aircraft during flight due to deterioration of the glue from moisture, leading to a crash. Legendary Notre Dame head coach Knute Rockne was among those killed.
July 21, 1919	13	27	2	Wingfoot Air Express crash	Chicago	Illinois	Type FD dirigible	The aircraft caught fire and crashed, killing 3 aboard the dirigible and 10 on the ground.
